Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.244.0.10,56574,10.244.0.9,7000,6,2023-06-15 08:06:11,23248617.0,2099,1934,2161548,127656,12234.0,67.0,1029.7989518818486,1516.5060032562328,78.0,66.0,66.00620475698035,0.27279769932137254,98466.24425014186,173.47268441817423,5766.026041666667,16357.557715312763,296899.0,3.0,23247026.0,11080.565300285987,22025.538580465145,305127.0,7.0,23248610.0,12027.216761510605,23615.73907770685,296907.0,17.0,0,0,0,0,41980,38680,90.28494039021763,83.18774402795658,66,12234,567.6181502603521,1195.3140726174117,1428775.732197223,1,0,0,0,0,0,0,0.9213911386374464,567.6181502603521,2023014.0,2099.0,87022.486231142,0.0,0.0,0.0,502,8213,2099,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.244.0.11,59520,10.244.0.9,7000,6,2023-06-15 08:06:11,23194525.0,1859,1660,2332193,109572,12174.0,67.0,1254.5416890801507,1667.5347152720663,78.0,66.0,66.00722891566265,0.29443968946144045,105273.3349788366,151.71683834870515,6593.099772598067,19954.82708725955,380880.0,3.0,23192465.0,12482.489235737352,27103.843517021745,401951.0,7.0,23194518.0,13981.023508137432,28799.196269531487,380896.0,13.0,0,0,0,0,37180,33200,80.14822463490846,71.56861371379668,66,12174,693.8803637396987,1349.438385768624,1820983.9569858296,1,0,0,0,0,0,0,0.8929532006455083,693.8803637396987,2209499.0,1859.0,95267.9674195908,0.0,0.0,0.0,502,4972,1859,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.244.1.8,57824,10.244.0.9,9042,6,2023-06-15 08:06:11,23173443.0,2371,1899,718206,154731,1058.0,66.0,302.91269506537327,108.67162514721917,300.0,66.0,81.48025276461296,18.111497305263995,37669.71528572599,184.26264927486176,5428.304520965097,8487.258954890838,187257.0,-11.0,23160643.0,9772.423206751055,12285.633718914398,187257.0,2.0,23171327.0,12208.286090621707,15529.287538416505,246470.0,4.0,0,0,0,0,47420,37980,102.31539611960122,81.94725315526053,66,1058,204.43489461358314,137.15557364503113,18811.651381897558,1,0,0,0,0,0,0,0.8009278785322649,204.43489461358314,1418.25,5.3359375,45940.86065724159,62.111111111111114,4.666666666666667,21931.02907136412,502,6192,2104,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.244.0.9,9042,10.244.1.8,57774,6,2023-06-15 08:06:11,23159720.0,1985,2461,162283,758866,313.0,66.0,81.75465994962217,19.168975766515604,1554.0,66.0,308.3567655424624,120.47069200010786,39773.75374140965,191.97123281283194,5210.2785151856015,8431.144563141414,186918.0,-32.0,23138626.0,11662.613911290322,15182.452111701883,247669.0,24.0,23158829.0,9414.158130081301,12250.410980819323,186918.0,1.0,0,0,0,0,39700,49220,85.70915365125312,106.26207916157881,66,1554,207.1860098965362,144.52523075018877,20887.54232339531,1,0,0,0,0,0,0,1.2397984886649873,207.1860098965362,69.72727272727273,4.636363636363637,26639.344262295082,1423.7037037037037,5.237037037037037,47170.725876971774,501,501,1356,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.244.0.9,9042,10.244.1.8,57826,6,2023-06-15 08:06:11,23159652.0,1549,1970,126669,596012,274.0,66.0,81.77469335054874,19.096377626741145,1058.0,66.0,302.5441624365482,109.32072838094388,31204.311705547214,151.94528829707804,6583.177942012507,10811.05262125724,187314.0,-32.0,23138637.0,14947.43992248062,19911.16990891644,262558.0,9.0,23150372.0,11757.426104621636,15517.295130902547,187314.0,1.0,0,0,0,0,30980,39400,66.8835611174123,85.06172717966574,66,1058,205.3654447286161,137.33648888320397,18861.31117876641,1,0,0,0,0,0,0,1.2717882504841833,205.3654447286161,101.4,4.4,18179.210441392665,1390.0504201680671,5.2100840336134455,38566.401235497615,501,501,1034,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.244.0.11,7000,10.244.0.9,56100,6,2023-06-15 08:06:11,23192674.0,1259,3710,83190,2529267,78.0,66.0,66.07625099285147,0.9535185893871175,12027.0,71.0,681.7431266846361,1013.0417520657768,112641.47463117017,214.24868904723965,4668.412640901772,11448.919104977556,352246.0,5.0,23192674.0,18436.14785373609,22600.60525376798,352283.0,15.0,23191637.0,6252.800485306012,14285.453973726919,352548.0,9.0,0,0,0,0,25180,74200,54.28438307717342,159.96430597006625,66,12027,525.7510565506138,915.3887975310776,837936.650645392,1,0,0,0,0,0,0,2.9467831612390785,525.7510565506138,0.0,0.0,0.0,2284407.0,3710.0,98501.32614614484,501,502,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.244.0.9,42580,10.244.0.10,7000,6,2023-06-15 08:06:11,23254371.0,3723,1475,2365804,97542,11737.0,116.0,635.4563524039753,888.3698025970576,78.0,66.0,66.13016949152542,1.2430164125147734,105930.45066667252,223.52786923370235,4474.575909178372,10934.912778201124,324634.0,3.0,23246388.0,6245.671144545943,13758.444445592724,337727.0,8.0,23254348.0,15776.355495251019,20855.16641784373,324662.0,11.0,0,0,0,0,74460,29500,160.0989336585367,63.42893557516563,66,11737,473.9026548672566,794.4384758246524,631132.4918705969,1,0,0,0,0,0,0,0.39618587160891755,473.9026548672566,2120086.0,3723.0,91200.66308796016,0.0,0.0,0.0,502,904,3723,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.244.0.9,9042,10.244.1.8,57764,6,2023-06-15 08:06:11,23159313.0,2364,2814,192167,876404,300.0,66.0,81.2889170896785,17.93555946751463,1058.0,66.0,311.44420753375977,112.85285930713631,46140.01287516603,223.5817616869723,4473.490824802009,6906.856351355545,162927.0,-42.0,23149460.0,9796.639864578925,12436.858049357767,208081.0,13.0,23156958.0,8232.121578386064,10034.000162660961,162927.0,4.0,0,0,0,0,47280,56280,102.07556674932455,121.50619493764776,66,1058,206.36751641560448,142.1654018067989,20211.001470888586,1,0,0,0,0,0,0,1.1903553299492386,206.36751641560448,88.0,4.615384615384615,14460.877259512072,1437.3138686131388,5.328467153284672,45953.138123354605,796,501,1637,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.244.0.9,9042,10.244.1.8,57776,6,2023-06-15 08:06:11,23171174.0,1728,2188,141604,670416,261.0,66.0,81.94675925925925,18.292079561460053,1058.0,66.0,306.4058500914077,111.0797093554582,35044.40474185727,169.00308978733662,5918.543295019157,9257.453715761507,187167.0,-77.0,23171174.0,13417.008685581934,16829.06706662232,246281.0,36.0,23156956.0,10588.457247370827,13268.849598839117,187167.0,1.0,0,0,0,0,34560,43760,74.57541857827316,94.42767120906346,66,1058,207.35955056179776,139.51116663601238,19463.36561614121,1,0,0,0,0,0,0,1.2662037037037037,207.35955056179776,110.5,5.25,8709.016393442624,1385.5206611570247,5.239669421487603,43430.15536860375,501,501,1170,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
10.244.0.9,9042,10.244.1.8,57808,6,2023-06-15 08:06:11,23164081.0,2040,2514,166767,778980,300.0,66.0,81.74852941176471,18.637328076668346,1554.0,66.0,309.8568019093079,107.37841628319636,40828.168404349824,196.59748211034145,5087.6523171535255,7882.447410879973,187304.0,1.0,23164081.0,11360.510544384502,14123.752362916393,230500.0,52.0,23152822.0,9213.220055710306,11839.599368116165,187304.0,1.0,0,0,0,0,40800,50280,88.06738329053503,108.53009881980641,66,1554,207.67391304347825,139.24127390453313,19388.132358557217,1,0,0,0,0,0,0,1.2323529411764707,207.67391304347825,83.2,5.0,24437.525700522823,1379.2876712328766,5.164383561643835,45282.87970475821,501,501,1398,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
